userId,itemId,rating
6,231,5
282,1911,3
565,2,2.5
443,4865,1.5
395,154,4
408,81,4
559,2076,5
348,1267,5
210,580,4
196,349,4
336,116823,4.5
100,2683,2.5
523,1876,4.5
523,7017,5
481,3633,1.5
268,1732,4
416,1580,4
377,3247,1
290,5064,5
25,69844,4
542,3798,4
395,2360,4
340,2353,3
43,86593,2.5
298,1028,5
71,2716,4
171,6710,3.5
77,1210,5
222,1222,5
222,2407,3.5
278,2858,5
322,150,4
305,8464,3.5
540,786,3
108,27604,3
149,3114,4
348,1845,4
13,2616,1
509,47610,3.5
149,648,3.5
555,1617,5
248,59315,4.5
178,3519,3.5
120,25887,5
382,2542,3
43,5420,2
574,849,3
519,4105,3.5
552,8918,3
531,546,1
272,69784,2
500,8957,2
0,8529,3
552,1258,3.5
181,2094,3
110,7234,4.5
431,2085,3
417,454,3
366,62434,4.5
395,3683,5
449,3527,2
78,435,3
222,2528,2
255,1196,5
62,106916,3.5
62,74275,2.5
565,66915,2
218,2409,2
474,3117,3
43,66,2
525,5254,2
322,3730,4.5
58,4848,2.5
149,442,3.5
78,5219,2
349,6953,3
65,1569,4
382,102481,0.5
425,520,2
343,4801,4
215,4178,4
283,1089,2.5
77,49278,4.5
159,8957,4
66,3074,5
533,150,4
600,48394,2.5
544,81845,4.5
570,8376,5
13,1946,4
526,3591,3
360,1036,4
54,1687,3
171,2369,3
410,91500,4.5
171,6856,4
69,150,4
224,1,3
431,3273,2
182,1208,5
108,5959,3.5
452,780,3
129,367,4
508,3707,3
565,5027,2.5
381,509,4
231,1994,4
271,2012,2.5
367,2160,5
43,81537,1.5
108,968,4
534,36529,3
277,3948,4
509,3735,4
398,86882,3
366,137857,3.5
500,2571,5
66,7027,4
377,1911,1.5
240,5299,3.5
123,3735,4
218,1206,3.5
58,172547,0.5
455,53996,3
367,708,3
597,762,2
525,2146,3.5
584,468,3.5
218,27912,4
156,5618,5
88,296,3
481,5881,4
105,7206,4
9,3508,4
271,1365,4
419,44840,3.5
565,1911,1
62,128520,5
140,1358,4
574,587,2
596,83601,0.5
231,344,4
314,83369,4
475,4545,3
276,6936,3.5
178,2321,3
430,79132,5
558,71282,4.5
413,3152,4
126,317,3
453,63992,3
543,1089,5
440,1917,3
43,1206,4
306,588,2
43,3052,4
576,3247,1
565,6299,3
313,339,3
62,95543,3
376,888,3
388,10,3
554,1784,2
185,80969,4
240,588,3
510,78264,3
329,908,5
353,4973,5
555,7028,4
128,410,3
149,5080,4
519,4887,3.5
298,3624,4
53,109578,4
509,26587,5
295,32587,3
608,53000,3.5
349,31101,3
570,117529,4
120,3882,2
493,2496,4.5
236,2858,5
323,2542,4
382,46723,1
336,139644,4
377,56367,4.5
249,913,3.5
237,7,5
352,1358,5
500,39292,3.5
504,7115,2.5
170,3287,3
66,1500,4.5
455,1223,4.5
552,5110,3
192,68157,4
382,5528,0.5
25,5218,3
348,2956,3
163,5205,2
421,1663,5
135,1,5
600,2318,5
245,4995,5
466,2858,5
282,3396,3
526,1265,4
515,527,5
108,72142,5
574,4958,4
89,1682,3.5
272,64575,3
349,3105,2.5
155,6863,4
159,96861,3.5
74,122924,4.5
481,54001,3.5
43,2978,2
43,2403,2
13,1081,3
398,89864,3.5
362,41566,4
183,91529,5
287,628,4
246,2078,4
366,148956,3
528,2881,2.5
231,708,4
275,527,5
181,1485,4
25,58559,5
62,44840,2.5
440,292,3.5
86,1136,5
565,26854,2.5
100,4447,3.5
576,3000,2.5
410,7445,4.5
13,145,4
506,736,3
43,94070,2.5
131,39,3
313,434,4
431,1088,3.5
246,349,2
500,45666,3.5
236,2694,4
26,1682,4
582,494,4
500,7293,2
271,130576,2
487,593,4
481,26900,3
206,5952,4
555,5747,4.5
570,2096,4
522,111743,3.5
234,593,3
500,353,3
348,2144,5
272,69844,5
138,919,4
565,6051,3
247,1,5
13,1051,4
131,3774,1
165,5349,3.5
221,719,2
555,293,3.5
224,208,2
153,1,3
517,64030,3.5
171,4644,3
382,71248,1
105,3262,3.5
43,109187,2
231,72,3
500,7618,3.5
282,1210,5
435,8644,2.5
385,364,4
272,4963,4
0,175485,3
272,4016,4
231,3809,3
589,4447,3.5
507,442,5
19,188,5
555,48516,4
481,4973,5
162,6890,3.5
600,1466,4
74,2762,3
377,46970,2.5
128,203,5
181,2003,4
149,27674,4
488,2318,5
552,48593,2.5
309,1682,4
252,2324,4
248,89745,4.5
525,2034,3.5
565,5993,2.5
522,1282,3.5
328,6947,3.5
68,2797,3
382,53993,0.5
20,5010,4
488,745,4
513,338,2
574,5502,5
458,589,4.5
384,32587,4
478,3996,5
481,5989,3.5
431,31049,2.5
88,208,4
449,2541,5
570,6373,3.5
519,3510,4.5
457,140,3
501,1939,3
266,1206,5
393,2155,4
43,8983,4
382,86320,0.5
127,5445,4
272,50912,2
488,8874,5
0,41716,4
526,4886,5
565,4205,2
491,913,4
188,329,5
449,552,4
502,260,4.5
302,87413,3
127,5464,3.5
146,288,3
588,102686,4.5
574,1,4
245,3481,4
455,102903,4
277,4022,3
29,902,4
8,8253,1.5
475,249,4
43,6645,2.5
72,5952,3
183,33794,3.5
80,3977,1
505,2492,4
514,85414,4
110,6711,4
507,59784,3.5
431,106487,4
307,610,3
66,4085,3
545,7450,1
517,33166,4
80,45728,4
211,420,3
537,4223,2
416,51255,4
11,4308,4.5
519,2997,2
595,3968,2
43,58156,3
43,2858,4
431,2605,3.5
96,1097,3
487,58559,5
409,1222,4
475,8364,4
283,1968,4
142,480,4
294,3752,4
