userId,itemId,rating
65,7444,3
138,1097,4
377,4643,3
11,3785,3
519,407,3.5
120,128944,3.5
89,858,3
110,1211,5
77,108190,4.5
534,64957,3
110,194,4
196,1367,3
347,900,5
397,2908,4.5
377,2133,4.5
205,1580,4
276,39292,2.5
0,55282,2
323,72998,4.5
5,2858,3.5
0,31221,2
2,6868,4
25,72998,2.5
314,5816,4.5
604,1172,4
105,1092,3
330,1357,4
602,3362,5
509,4262,4.5
582,161,5
518,356,4.5
565,153,2
552,5572,2.5
319,2571,4
159,5784,2.5
600,1270,4
475,3508,5
80,5989,3.5
11,102481,4
37,951,5
252,318,5
240,648,3.5
171,16,4
549,3418,4
122,5502,1
565,474,2.5
149,1320,3.5
565,34292,1.5
584,5404,4.5
377,4109,2.5
3,597,3
108,104944,4
282,1617,3
286,122926,4
171,3599,3.5
449,3186,4
228,920,3
522,4447,3.5
453,1129,4
26,1029,2
314,2023,5
442,1127,3
171,3037,4
94,40815,4
159,6503,3
11,19,3.5
531,224,4
271,6618,3.5
11,104076,3.5
0,91974,4
481,552,3
149,7361,5
571,2617,4
442,1291,4
272,6297,3.5
341,6662,3
273,2700,3.5
475,196,3
542,2628,5
475,4610,2
500,95,1
159,91690,2.5
271,48045,4
11,41566,3.5
570,539,3.5
210,377,3
470,5377,4
314,139385,4
294,61132,2.5
13,3167,4
31,333,5
453,138210,3
210,3763,4
365,7235,3
164,1196,2
171,44555,3.5
43,133545,1
159,84944,3.5
0,8666,1
282,2717,3
574,5418,5
276,1485,3.5
108,71899,4.5
62,3052,5
192,109487,3.5
501,3633,2
186,315,3
602,3504,4
180,1210,4
105,543,4
375,1562,3
24,59037,4
408,364,2
475,260,5
110,6973,2.5
541,2291,3.5
307,861,3
110,44189,4
247,7361,5
110,4262,4
271,86882,3
171,4080,3.5
102,7153,4
25,35836,3.5
43,7894,4.5
332,2819,3.5
24,333,3
282,1078,2
24,176,4
519,1760,0.5
282,3087,2
52,1722,3.5
272,4890,3.5
528,2369,2.5
181,5048,3
178,1265,4
110,8373,2.5
120,142196,4.5
404,161,4
248,118696,4.5
377,4993,3
138,1518,3
43,116799,2.5
377,223,4
171,8481,3
501,3,3
321,4979,4
431,1221,3
565,2716,4.5
602,3752,3
282,1918,1
475,6549,2
43,3705,2
221,191,2
78,2710,1.5
276,6709,3
